,$-\int_{S_1}q(ud)\mathrm{d}y$,$\int_{S_3}q(vd)\mathrm{d}x$,$\delta{B}$,$-\int_{S_2}\lambda\mathbf{u}\cdot\mathbf{l}\mathrm{d}s$,$\int_{S_3}\lambda u\mathrm{d}x$,LH,RH,LH - RH
0,0.27984059224490615,-0.32727445352768636,0.07970709930796101,-0.11067769614133012,-0.03087627373300038,-0.04743386128278017,-0.061846870566369505,0.014413009283589335
1,0.25993937659796157,-0.29861170337086435,0.09104568099150967,-0.1105453806260269,-0.03156725002859315,-0.03867232677290273,-0.051066949663110366,0.012394622890207645
2,0.24005757934925778,-0.25236873337892174,0.11373771681256152,-0.11171228414803702,-0.025898591133017398,-0.012311154029663937,-0.02387315846849289,0.01156200443882895
3,0.22009689380746286,-0.22112563018771506,0.12775327565898614,-0.11141918841354283,-0.02724999806168123,-0.0010287363802521624,-0.010915910816237894,0.009887174435985732
4,0.2000793594155597,-0.1871523680869962,0.14480856286357227,-0.11130189178577168,-0.027801470950659962,0.012926991328563528,0.005705200127140639,0.007221791201422887
5,0.18007007865449184,-0.1491049708170636,0.16592400095609913,-0.1113491789096501,-0.02757860493030066,0.030965107837428257,0.026996217116148368,0.003968890721279889
6,0.2998447401296344,-0.33464338917868636,0.0797351185516983,-0.09462273220828013,-0.03238021914748195,-0.03479864904905189,-0.04726783280406377,0.012469183755011886
7,0.27994817034175273,-0.3061215928174706,0.09107081942470263,-0.09451173951412882,-0.033082664720128684,-0.02617342247571785,-0.036523584809554845,0.010350162333837003
8,0.2600702888544713,-0.2588046543476689,0.11376291539731118,-0.09547619446882029,-0.02734025751999865,0.0012656345068023985,-0.009053536591507746,0.010319171098310145
9,0.24011514103963652,-0.2278082258292586,0.12778108970225982,-0.09523733563901789,-0.028707657410820726,0.012306915210377904,0.0038360966524212067,0.008470818557956698
10,0.22009369333074594,-0.1939353959369646,0.14483244236603457,-0.09514173364790358,-0.029265307440799432,0.026158297393781317,0.020425401277331567,0.005732896116449747
11,0.2000818050476424,-0.15584753079941868,0.1659454556360954,-0.09518019448844885,-0.029039994929747338,0.044234274248223696,0.0417252662178992,0.0025090080303244947
12,0.3198596492895517,-0.34274678443130796,0.07977978715347704,-0.07688927926339471,-0.033725630107047544,-0.022887135141756308,-0.030835122216965227,0.007947987075208924
13,0.2999663153364841,-0.3143385547880235,0.09111099471482208,-0.07680187716665508,-0.03443228871393557,-0.01437223945153936,-0.020123171165768585,0.005750931714229224
14,0.28008854565491825,-0.2659754728488589,0.11379972790729478,-0.0775696592147426,-0.028631455861443507,0.014113072806059392,0.007598612831108674,0.006514459974950718
15,0.26013351349978225,-0.23525351830620364,0.1278177054955182,-0.07737598520427563,-0.03001881684735182,0.02487999519357864,0.02042290344389076,0.004457091749687877
16,0.2401088536949589,-0.20148805258059893,0.14486316109034936,-0.07729948858966075,-0.030583376434426747,0.038620801114360004,0.036980296066261846,0.0016405050480981626
17,0.22009557857266235,-0.16335739265184313,0.1659716487171138,-0.07732994731317822,-0.030355402595533088,0.05673818592081922,0.05828629880840248,-0.001548112887583258
18,0.3398952618321955,-0.35101692521930195,0.07984212897788269,-0.05864691684390711,-0.034817875424080415,-0.01112166338710653,-0.013622663290104838,0.00250099990299831
19,0.32000702084255017,-0.32270307632587164,0.09117045058810382,-0.058586028678898006,-0.03552562992743049,-0.0026960554833214984,-0.0029412080182246933,0.0002451525349031943
20,0.30012082259589823,-0.27343751429026475,0.11385364058017539,-0.05913486973214239,-0.02969761694491932,0.026683308305633497,0.02502115390311369,0.0016621544025198045
21,0.2801624396444434,-0.24295602859596452,0.12786796476468057,-0.05899478245707599,-0.031095543875677558,0.03720641104847884,0.03777763843192702,-0.0005712273834481812
22,0.26013275210762815,-0.20928482282090202,0.14490461140574643,-0.05893926407340993,-0.03166371642045122,0.05084792928672613,0.054301630911885286,-0.003453701625159153
23,0.2401124239132365,-0.17111551937747252,0.16600481207450424,-0.058962124584331255,-0.03143419074193558,0.06899690453576401,0.0756084967482374,-0.0066115922124733925
24,,,,,,,,
25,0.34008115936164923,-0.33111779057956675,0.09123901043880152,-0.03807624562928442,-0.03635488746007176,0.008963368782082561,0.016807877349445298,-0.007844508567362733
26,0.3201688612632942,-0.28106938976966156,0.11391182695054866,-0.03838851631122295,-0.030520041079380316,0.03909947149363268,0.04500326955994541,-0.0059037980663127305
27,0.30019442442606903,-0.25079834910714827,0.12793292196285108,-0.03830852797908539,-0.031922220875035684,0.04939607531892076,0.057702173108730014,-0.008306097789809244
28,0.28015253435348964,-0.21720872152655707,0.1449625892040341,-0.0382766133517277,-0.032491587704582915,0.06294381282693252,0.07419438814772349,-0.011250575320790953
29,0.26012756183813396,-0.17900732972246,0.16604987731561122,-0.03828936506913463,-0.03226169955279651,0.08112023211567396,0.09549881269368007,-0.014378580578006114
